state,district,e_locality_id,lat,lon,total_idps
South Kordofan,Abassiya,SD07090,12.321521,31.300937,66842
River Nile,Abu Hamad,SD16008,20.16364,33.218942,78905
Sennar,Abu Hujar,SD14037,12.612193,33.89529,702
East Darfur,Abu Jabrah,SD05140,10.935601,26.799633,43875
South Kordofan,Abu Jubayhah,SD07088,11.148388,31.725415,59750
East Darfur,Abu Karinka,SD05155,11.594008,26.558727,45436
South Kordofan,Abu Kershola,SD07104,12.014373,30.801127,26428
West Kordofan,Abu Zabad,SD18028,12.645239,29.306019,31787
West Kordofan,Abyei,SD18087,10.833424,27.684931,22413
Abyei PCA,Abyei PCA area,SD19001,9.786293,28.413405,0
Northern,Ad Dabbah,SD17019,17.231144,30.689276,119529
Sennar,Ad Dali,SD14039,12.526733,33.438086,12216
River Nile,Ad Damar,SD16011,17.121049,34.259104,132784
Sennar,Ad Dinder,SD14040,12.735365,34.803236,28557
White Nile,Ad Diwaim,SD09044,13.968012,31.981474,79712
East Darfur,Ad Du'ayn,SD05142,11.420314,26.200741,216445
East Darfur,Adila,SD05139,11.43547,27.008713,53737
West Darfur,Ag Geneina,SD04115,13.358583,22.353124,81820
Red Sea,Agig,SD10072,17.890106,37.985633,235
White Nile,Aj Jabalain,SD09051,12.674495,32.967693,136483
River Nile,Al Buhaira,SD16014,19.910568,32.606046,5347
South Kordofan,Al Buram,SD07099,10.638882,29.903336,0
Northern,Al Burgaig,SD17016,19.592873,30.655079,64666
Gedaref,Al Butanah,SD12073,15.028183,34.598493,13760
West Kordofan,Al Dibab,SD18103,10.305377,28.746786,22541
Gedaref,Al Fao,SD12074,14.042375,34.190523,42716
Gedaref,Al Fashaga,SD12075,14.250381,35.980078,45948
North Darfur,Al Fasher,SD02114,13.779004,25.370408,698865
East Darfur,Al Firdous,SD05152,10.927719,25.905901,59700
Gedaref,Al Galabat Al Gharbyah - Kassab,SD12078,13.535521,35.36822,48628
Red Sea,Al Ganab,SD10069,19.550798,35.147386,2040
White Nile,Al Gitaina,SD09050,14.472854,32.375079,26985
Northern,Al Golid,SD17018,17.854741,28.928065,69853
Aj Jazirah,Al Hasahisa,SD15034,14.78013,32.925545,11101
West Kordofan,Al Idia,SD18104,11.93892,27.906768,96725
Aj Jazirah,Al Kamlin,SD15035,15.128601,32.940258,55924
West Kordofan,Al Khiwai,SD18105,13.301541,28.995984,9713
North Darfur,Al Koma,SD02116,14.095875,27.288253,49355
Blue Nile,Al Kurmuk,SD08106,10.526217,34.112256,23885
West Kordofan,Al Lagowa,SD18102,11.353771,28.947703,21552
North Darfur,Al Lait,SD02169,11.941731,26.77957,15734
South Kordofan,Al Leri,SD07105,10.130087,30.837483,7288
Gedaref,Al Mafaza,SD12082,13.641604,34.491596,29290
North Darfur,Al Malha,SD02117,17.564078,25.792038,20835
Aj Jazirah,Al Manaqil,SD15036,14.132764,32.934234,66554
River Nile,Al Matama,SD16009,16.726159,32.7084,165934
West Kordofan,Al Meiram,SD18106,10.183227,27.701045,36973
South Kordofan,Al Quoz,SD07094,12.46781,29.924219,9195
Aj Jazirah,Al Qurashi,SD15037,14.305408,32.63886,185619
Gedaref,Al Qureisha,SD12076,13.727283,36.072089,41075
South Darfur,Al Radoum,SD03141,9.704639,24.238636,37790
South Darfur,Al Wihda,SD03150,12.863599,24.983601,6850
West Kordofan,An Nuhud,SD18022,13.165317,28.3054,47712
Gedaref,Ar Rahad,SD12084,13.233515,34.808656,70295
North Kordofan,Ar Rahad,SD13030,12.751902,30.665244,39660
South Kordofan,Ar Rashad,SD07093,11.785499,31.091876,22114
South Kordofan,Ar Reif Ash Shargi,SD07097,11.260003,29.853661,39030
Blue Nile,Ar Rusayris,SD08107,12.164843,34.581526,70742
South Darfur,As Salam - SD,SD03166,11.648242,24.764545,16250
West Kordofan,As Salam - WK,SD18086,11.304914,28.217431,34941
White Nile,As Salam / Ar Rawat,SD09049,12.369001,32.309445,52735
North Darfur,As Serief,SD02118,13.960687,23.597457,17912
Sennar,As Suki,SD14041,12.91538,34.141804,23526
South Darfur,As Sunta,SD03156,10.660952,25.577011,101130
West Kordofan,As Sunut,SD18092,12.025664,28.908089,10634
East Darfur,Assalaya,SD05163,11.672855,25.992083,25240
Blue Nile,At Tadamon - BN,SD08108,11.663392,33.640707,23200
South Kordofan,At Tadamon - SK,SD07106,12.052538,31.679317,2253
North Darfur,At Tawisha,SD02119,12.503779,26.59213,2740
North Darfur,At Tina,SD02171,15.167895,23.127019,6145
River Nile,Atbara,SD16012,17.853429,32.913587,114774
Central Darfur,Azum,SD06110,12.882062,23.02057,70005
West Kordofan,Babanusa,SD18100,11.323818,27.590653,32587
East Darfur,Bahr Al Arab,SD05160,10.231793,26.701278,67220
Khartoum,Bahri,SD01003,15.998119,32.801408,25828
North Kordofan,Bara,SD13026,14.050263,30.906266,34869
River Nile,Barbar,SD16013,18.148134,33.734758,165714
Gedaref,Basundah,SD12077,12.933774,35.838709,46731
Blue Nile,Baw,SD08104,11.133073,33.800953,99678
West Darfur,Beida,SD04111,12.887752,22.042525,2390
South Darfur,Beliel,SD03162,11.948623,25.132568,473818
Central Darfur,Bendasi,SD06112,12.045643,22.850442,32090
South Darfur,Buram,SD03161,10.705195,25.093828,195395
South Darfur,Damso,SD03172,10.778127,24.514846,7530
North Darfur,Dar As Salam,SD02113,13.183605,25.319644,226754
South Kordofan,Delami,SD07107,11.640414,30.325102,4731
Northern,Delgo,SD17015,20.130977,29.061767,34486
South Kordofan,Dilling,SD07095,11.931878,29.526205,44020
Northern,Dongola,SD17017,19.233941,29.637782,96147
Red Sea,Dordieb,SD10063,17.535641,35.883005,2270
South Darfur,Ed Al Fursan,SD03143,11.680975,24.333004,33541
Blue Nile,Ed Damazine,SD08105,12.079783,34.23656,179779
West Darfur,Foro Baranga,SD04121,12.241949,22.60086,20595
Gedaref,Gala'a Al Nahal,SD12079,13.335568,35.103673,65674
Gedaref,Galabat Ash-Shargiah,SD12083,13.378072,35.801919,99399
North Kordofan,Gebrat Al Sheikh,SD13027,15.403081,30.910448,7328
Blue Nile,Geisan,SD08109,11.175661,34.666003,47345
