state,total_idps,lat,lon
Aj Jazirah,331531,14.589485,33.27362
Blue Nile,456465,11.297455,34.127622
Central Darfur,929977,12.402911,23.364413
East Darfur,793948,11.017195,26.409638
Gedaref,852626,14.152377,35.106167
Kassala,318415,15.835927,35.856852
Khartoum,105380,15.851318,32.843002
North Darfur,1786909,16.217571,25.556517
North Kordofan,199248,14.847728,29.761701
Northern,567174,19.560497,29.329767
Red Sea,244306,19.8416,35.70398
River Nile,935723,18.332291,33.463789
Sennar,130614,12.907198,34.042836
South Darfur,1837706,11.00282,24.420469
South Kordofan,447459,11.293547,30.847982
West Darfur,309227,13.519303,22.616657
West Kordofan,406093,11.906944,28.392115
White Nile,648539,13.359391,32.316944
